address,suburb,state,postcode,full_address,price,sold_date,type,bedrooms,bathrooms,car_space,Land_size,Building_size,built_date,rent,rent_date,agent,lat,lng
73 Fairway,Crawley,WA,6009,73 Fairway Crawley WA 6009,"$1,180,000",1/06/2021,House,2,1,2,607,131,1/01/1939,$550pw,1/08/2021,Jack Bradshaw,-31.9821596,115.8153668
69 Fairway,Crawley,WA,6009,69 Fairway Crawley WA 6009,"$1,225,000",1/06/2021,House,2,1,2,607,,1/01/1926,$500pw,1/08/2021,Brian Neo,-31.9818697,115.8153668
65 Fairway,Crawley,WA,6009,65 Fairway Crawley WA 6009,"$1,225,000",1/06/2021,House,2,1,2,607,77,1/01/1921,$310pw,1/06/2008,Jack Bradshaw,-31.9817455,115.8153668
57 Fairway,Crawley,WA,6009,57 Fairway Crawley WA 6009,"$1,650,000",1/06/2021,Apartment,10,4,6,607,81,1/01/1965,$167pw,1/10/2015,Jack Bradshaw,-31.98118,115.8153
55 Fairway,Crawley,WA,6009,55 Fairway Crawley WA 6009,"$1,275,000",1/06/2021,House,3,2,2,607,164,1/01/1948,0,1/01/1900,Brian Neo,-31.9810515,115.8153206
150 Fairway,Crawley,WA,6009,150 Fairway Crawley WA 6009,"$3,500,000",1/06/2021,Apartment,1,1,1,809,,1/01/1964,$220pw,1/12/2019,Mark Hay,-31.9871338,115.8161063
6/9-11 Wingfield Avenue,Crawley,WA,6009,6/9-11 Wingfield Avenue Crawley WA 6009,"$920,000",1/06/2021,House,3,2,3,154,148,1/01/1972,0,1/01/1900,Michelle Kerr,-31.97265,115.82405
42/3 Park Avenue,Crawley,WA,6009,42/3 Park Avenue Crawley WA 6009,"$1,275,000",1/05/2021,Apartment,3,2,2,6588,174,1/01/1983,$1100pw,1/03/2014,Richard Self,-31.9716501,115.8253265
15/22 The Avenue,Crawley,WA,6009,15/22 The Avenue Crawley WA 6009,"$1,455,000",1/05/2021,Apartment,3,2,2,4524,169,1/01/1981,$785pw,1/05/2016,not recorded,-31.98849,115.81646
1/3 Wingfield Avenue,Crawley,WA,6009,1/3 Wingfield Avenue Crawley WA 6009,"$1,040,000",1/04/2021,Apartment,3,1,2,204,155,1/01/1982,$650pw,1/10/2015,Annie McCarthy,-31.97325,115.8245
7/131 Fairway,Crawley,WA,6009,7/131 Fairway Crawley WA 6009,"$860,000",1/04/2021,House,3,2,2,159,130,1/01/2000,$670pw,1/02/2021,Michelle Kerr,-31.9854781,115.8154361
1/16 The Avenue,Crawley,WA,6009,1/16 The Avenue Crawley WA 6009,"$4,000,000",1/03/2021,Apartment,3,3,4,310,297,1/01/1987,0,1/01/1900,Peter Robertson,-31.9882144,115.8171153
5/20 Park Road,Crawley,WA,6009,5/20 Park Road Crawley WA 6009,"$639,000",1/03/2021,Townhouse,2,1,1,86,90,1/01/2004,$500pw,1/11/2010,Belinda Airey,-31.9747065,115.8140265
7/28 The Avenue,Crawley,WA,6009,7/28 The Avenue Crawley WA 6009,"$422,000",1/02/2021,Apartment,2,1,1,65,59,1/01/1964,$315pw,1/05/2019,not recorded,-31.9885707,115.8157828
27/70-72 Broadway,Crawley,WA,6009,27/70-72 Broadway Crawley WA 6009,"$320,000",1/02/2021,Apartment,1,1,1,47,45,1/01/1964,0,1/01/1900,Minrong Lan,-31.9821596,115.8148497
3/64 Broadway,Crawley,WA,6009,3/64 Broadway Crawley WA 6009,"$485,000",1/01/2021,Apartment,3,1,2,131,100,1/01/1990,$500pw,1/01/2021,David Azzopardi,-31.9815604,115.8147891
12/9 Everett Street,Crawley,WA,6009,12/9 Everett Street Crawley WA 6009,"$395,000",1/01/2021,Apartment,2,1,1,109,90,1/01/1969,$215pw,1/08/2004,not recorded,-31.985855,115.8158922
2/15 COOK STREET,Crawley,WA,6009,2/15 COOK STREET Crawley WA 6009,"$635,000",1/01/2021,House,3,1,1,119,116,1/01/1981,$750pw,1/03/2012,Peter Zambotti,-31.9837438,115.8161756
4/22 Caporn Street,Crawley,WA,6009,4/22 Caporn Street Crawley WA 6009,"$360,000",1/12/2020,Apartment,1,1,1,50,50,1/01/1958,$345pw,1/12/2016,not recorded,-31.9842231,115.8166378
6/82 Broadway,Crawley,WA,6009,6/82 Broadway Crawley WA 6009,"$249,000",1/12/2020,Apartment,1,1,1,46,43,1/01/1967,0,1/01/1900,not recorded,-31.9833427,115.814874
9.1/4 Crawley Avenue,Crawley,WA,6009,9.1/4 Crawley Avenue Crawley WA 6009,"$755,000",1/10/2020,Apartment,3,2,2,202,,1/01/1970,$595pw,1/12/2016,Peter & Ali - Turner & Moore Team,-31.9734066,115.8240093
118 Broadway,Crawley,WA,6009,118 Broadway Crawley WA 6009,"$1,825,000",1/10/2020,Apartment,,8,8,880,77,1/01/1939,$210pw,1/09/2016,David Azzopardi,-31.9852103,115.8148584
7/8 Wingfield Avenue,Crawley,WA,6009,7/8 Wingfield Avenue Crawley WA 6009,"$650,000",1/10/2020,Apartment,3,2,2,123,121,1/01/1979,$650pw,1/01/2021,not recorded,-31.9725016,115.8249336
1/16 Caporn Street,Crawley,WA,6009,1/16 Caporn Street Crawley WA 6009,"$475,000",1/10/2020,Apartment,,1,1,73,73,1/01/1969,$500pw,1/07/2015,not recorded,-31.9840682,115.8159214
10/159 Fairway,Crawley,WA,6009,10/159 Fairway Crawley WA 6009,"$270,000",1/09/2020,Apartment,1,1,1,41,35,1/01/1964,$250pw,1/09/2020,not recorded,-31.9874827,115.8156441
35/17 The Avenue,Crawley,WA,6009,35/17 The Avenue Crawley WA 6009,"$270,000",1/08/2020,Apartment,1,1,1,41,41,1/01/1963,$370pw,1/04/2021,not recorded,-31.9878111,115.8158643
8/20 Park Road,Crawley,WA,6009,8/20 Park Road Crawley WA 6009,"$410,000",1/06/2020,Apartment,1,1,1,76,65,1/01/2004,$420pw,1/03/2015,not recorded,-31.9747065,115.8140265
8E Park Road,Crawley,WA,6009,8E Park Road Crawley WA 6009,"$525,000",1/06/2020,House,1,1,1,116,81,1/01/1999,$500pw,1/01/2019,not recorded,-31.97478,115.81486
6/114 Broadway,Crawley,WA,6009,6/114 Broadway Crawley WA 6009,"$270,000",1/04/2020,Apartment,2,1,0,76,76,1/01/1963,$460pw,1/01/2015,not recorded,-31.9847962,115.8148584
1/31 Caporn Street,Crawley,WA,6009,1/31 Caporn Street Crawley WA 6009,"$530,000",1/04/2020,Townhouse,3,1,1,95,102,1/01/1981,0,1/01/1900,not recorded,-31.98472,115.81743
5/82 Broadway,Crawley,WA,6009,5/82 Broadway Crawley WA 6009,"$239,000",1/04/2020,Unit,1,1,1,46,43,1/01/1967,$240pw,1/09/2016,not recorded,-31.9833427,115.814874
1/139 Fairway,Crawley,WA,6009,1/139 Fairway Crawley WA 6009,"$540,000",1/02/2020,Townhouse,2,1,2,95,100,1/01/1978,0,1/01/1900,not recorded,-31.9859381,115.8153206
10/25 The Avenue,Crawley,WA,6009,10/25 The Avenue Crawley WA 6009,"$350,000",1/02/2020,Unit,2,1,1,74,72,1/01/1965,$430pw,1/02/2021,not recorded,-31.9879772,115.8152744
1/4 Kings Park Avenue,Crawley,WA,6009,1/4 Kings Park Avenue Crawley WA 6009,"$1,260,000",1/01/2020,Unit,3,2,2,215,212,1/01/1982,0,1/01/1900,not recorded,-31.9724813,115.8265512
2/44 Broadway,Crawley,WA,6009,2/44 Broadway Crawley WA 6009,"$525,000",1/12/2019,Apartment,2,1,2,104,77,1/01/1980,$530pw,1/10/2018,not recorded,-31.9795783,115.8148584
2W/14-18 Kings Park Avenue,Crawley,WA,6009,2W/14-18 Kings Park Avenue Crawley WA 6009,"$825,000",1/11/2019,Apartment,3,2,2,190,190,1/01/1972,$850pw,1/09/2017,not recorded,-31.9716011,115.8263162
8e/14 Kings Park Avenue,Crawley,WA,6009,8e/14 Kings Park Avenue Crawley WA 6009,"$1,250,000",1/11/2019,Apartment,3,2,2,190,190,1/01/1972,0,1/01/1900,not recorded,-31.9716011,115.8263162
17e/14 Kings Park Avenue,Crawley,WA,6009,17e/14 Kings Park Avenue Crawley WA 6009,"$1,290,000",1/10/2019,Apartment,3,2,2,190,190,1/01/1972,0,1/01/1900,not recorded,-31.9716011,115.8263162
3/4 Kings Park Avenue,Crawley,WA,6009,3/4 Kings Park Avenue Crawley WA 6009,"$1,040,000",1/09/2019,Apartment,3,2,2,215,212,1/01/1982,$1190pw,1/02/2021,Perth Lifestyle Residential - Lifestyle Is Where I,-31.9724813,115.8265512
1E/21 Park Avenue,Crawley,WA,6009,1E/21 Park Avenue Crawley WA 6009,"$865,000",1/09/2019,Apartment,3,2,2,443,,1/01/1982,0,1/01/1900,not recorded,-31.9727717,115.8235009
3/10 Kings Park Avenue,Crawley,WA,6009,3/10 Kings Park Avenue Crawley WA 6009,"$1,550,000",1/08/2019,Apartment,3,2,2,287,187,1/01/1999,0,1/01/1900,not recorded,-31.9720917,115.8263432
7E/21 Park Avenue,Crawley,WA,6009,7E/21 Park Avenue Crawley WA 6009,"$1,225,000",1/07/2019,Apartment,3,2,2,224,224,1/01/1982,0,1/01/1900,Perth Lifestyle Residential - Lifestyle Is Where I,-31.9727717,115.8235009
14/8 MOUNTS BAY ROAD,Crawley,WA,6009,14/8 MOUNTS BAY ROAD Crawley WA 6009,"$2,750,000",1/06/2019,Apartment,3,2,4,609,609,1/01/2006,0,1/01/1900,Perth Lifestyle Residential - Lifestyle Is Where I,-31.9728146,115.8260659
3/4 Crawley Avenue,Crawley,WA,6009,3/4 Crawley Avenue Crawley WA 6009,"$365,000",1/06/2019,Apartment,1,1,1,77,74,1/01/1970,$380pw,1/05/2018,Perth Lifestyle Residential - Lifestyle Is Where I,-31.9734066,115.8240093
95 Fairway,Crawley,WA,6009,95 Fairway Crawley WA 6009,"$525,000",1/06/2019,House,2,1,2,154,97,1/01/1982,$399pw,1/09/2019,Shellabears - Cottesloe,-31.9833583,115.8153139
7/9 Everett Street,Crawley,WA,6009,7/9 Everett Street Crawley WA 6009,"$345,000",1/04/2019,Unit,2,1,1,109,90,1/01/1969,$370pw,1/03/2019,not recorded,-31.985855,115.8158922
3W/21 Park Avenue,Crawley,WA,6009,3W/21 Park Avenue Crawley WA 6009,"$1,200,000",1/03/2019,Apartment,3,2,2,234,,1/01/1982,0,1/01/1900,Perth Lifestyle Residential - Lifestyle Is Where I,-31.9727717,115.8235009
3/7 The Avenue,Crawley,WA,6009,3/7 The Avenue Crawley WA 6009,"$800,000",1/01/2019,Townhouse,3,2,2,1012,164,1/01/1979,$750pw,1/02/2021,Collective Property Group WA - COTTESLOE,-31.986956,115.8169147
4/152 Broadway,Crawley,WA,6009,4/152 Broadway Crawley WA 6009,"$390,000",1/11/2018,Apartment,1,1,1,101,70,1/01/1958,$350pw,1/02/2021,Shellabears - Cottesloe,-31.9874163,115.8149971
3/30 Cook Street,Crawley,WA,6009,3/30 Cook Street Crawley WA 6009,"$675,000",1/11/2018,Townhouse,2,1,2,144,102,1/01/1965,0,1/01/1900,William Porteous Properties International Pty Lt,-31.9831714,115.8172848
41/1 Wingfield Avenue,Crawley,WA,6009,41/1 Wingfield Avenue Crawley WA 6009,"$895,000",1/11/2018,Apartment,4,2,2,221,221,1/01/1968,$820pw,1/11/2020,The Property Exchange - Subiaco,-31.9734071,115.8248643
3/159 Fairway,Crawley,WA,6009,3/159 Fairway Crawley WA 6009,"$265,000",1/11/2018,Apartment,1,1,,53,41,1/01/1964,$250pw,1/12/2016,Shellabears - Cottesloe,-31.9874827,115.8156441
46/3 Park Avenue,Crawley,WA,6009,46/3 Park Avenue Crawley WA 6009,"$1,470,000",1/10/2018,House,3,2,2,175,175,1/01/1983,0,1/01/1900,TM Residential - Dalkeith,-31.9716501,115.8253265
1A Park Avenue,Crawley,WA,6009,1A Park Avenue Crawley WA 6009,"$2,215,000",1/09/2018,House,4,3,3,210,197,1/01/2012,$2200pw,1/11/2015,Perth Lifestyle Residential - Lifestyle Is Where I,-31.971214,115.8260843
11/159 Fairway,Crawley,WA,6009,11/159 Fairway Crawley WA 6009,"$215,000",1/08/2018,Unit,1,1,1,35,35,1/01/1964,$250pw,1/06/2018,Bexleys Real Estate - Wembley,-31.9874827,115.8156441
10/22 The Avenue,Crawley,WA,6009,10/22 The Avenue Crawley WA 6009,"$1,050,000",1/07/2018,Unit,2,2,2,142,142,1/01/1981,$750pw,1/07/2020,Bellcourt Property Group - Dalkeith | Shenton Park,-31.98849,115.81646
1/48 Broadway,Crawley,WA,6009,1/48 Broadway Crawley WA 6009,"$515,000",1/07/2018,Apartment,3,2,2,107,95,1/01/1982,$485pw,1/03/2015,Renouf Real Estate - Swanbourne,-31.9873982,115.8146367
9/149 Fairway,Crawley,WA,6009,9/149 Fairway Crawley WA 6009,"$362,100",1/07/2018,Unit,2,1,1,69,74,1/01/1974,$390pw,1/12/2020,Mack Hall Real Estate - Claremont,-31.9867763,115.8152744
4/4 Crawley Avenue,Crawley,WA,6009,4/4 Crawley Avenue Crawley WA 6009,"$482,000",1/06/2018,Apartment,3,1,1,87,91,1/01/1970,$400pw,1/05/2020,Airey Real Estate - CLAREMONT,-31.9734066,115.8240093
23A Everett Street,Crawley,WA,6009,23A Everett Street Crawley WA 6009,"$950,000",1/03/2018,Townhouse,3,3,2,156,145,1/01/2004,0,1/01/1900,Knight Frank - Perth,-31.9856021,115.816766
6/44 Broadway,Crawley,WA,6009,6/44 Broadway Crawley WA 6009,"$545,000",1/03/2018,Apartment,2,1,1,123,77,1/01/1980,0,1/01/1900,Gordon Davies Real Estate - DALKEITH,-31.9795783,115.8148584
40 Everett Street,Crawley,WA,6009,40 Everett Street Crawley WA 6009,"$815,000",1/03/2018,House,3,1,,257,117,1/01/1969,$300pw,1/09/2015,not recorded,-31.9852139,115.8178302
41/3 Park Avenue,Crawley,WA,6009,41/3 Park Avenue Crawley WA 6009,"$1,220,000",1/02/2018,Apartment,3,2,2,175,175,1/01/1983,0,1/01/1900,Perth Lifestyle Residential - Lifestyle Is Where I,-31.9716501,115.8253265
123 Fairway,Crawley,WA,6009,123 Fairway Crawley WA 6009,"$818,000",1/02/2018,House,4,1,,160,150,1/01/1956,0,1/01/1900,not recorded,-31.9851509,115.8154634
4/124 Broadway,Crawley,WA,6009,4/124 Broadway Crawley WA 6009,"$350,000",1/02/2018,Unit,2,1,1,68,65,1/01/1958,$375pw,1/11/2019,Collective Property Group WA - COTTESLOE,-31.9859143,115.8148584
8/19 Princess Road,Crawley,WA,6009,8/19 Princess Road Crawley WA 6009,"$295,000",1/01/2018,Unit,1,1,1,50,65,1/01/1966,$325pw,1/08/2014,Shellabears - Cottesloe,-31.9861638,115.8165684
2/19 Princess Road,Crawley,WA,6009,2/19 Princess Road Crawley WA 6009,"$300,000",1/01/2018,Unit,1,1,1,50,50,1/01/1966,$270pw,1/10/2017,Shellabears - Cottesloe,-31.9861638,115.8165684
5/19 Princess Road,Crawley,WA,6009,5/19 Princess Road Crawley WA 6009,"$307,500",1/01/2018,Unit,1,1,1,50,50,1/01/1966,$375pw,1/03/2018,not recorded,-31.9861638,115.8165684
17/3 Park Avenue,Crawley,WA,6009,17/3 Park Avenue Crawley WA 6009,"$1,640,000",1/01/2018,Unit,3,1,2,175,175,1/01/1983,0,1/01/1900,not recorded,-31.9716501,115.8253265
5/10 Kings Park Avenue,Crawley,WA,6009,5/10 Kings Park Avenue Crawley WA 6009,"$1,700,000",1/12/2017,Unit,3,3,2,274,187,1/01/1999,0,1/01/1900,not recorded,-31.9720917,115.8263432
1/151 Fairway,Crawley,WA,6009,1/151 Fairway Crawley WA 6009,"$490,000",1/12/2017,Unit,2,1,1,83,80,1/01/1964,$525pw,1/09/2015,Shellabears - Cottesloe,-31.9869219,115.8153668
2/224 Hampden Road,Crawley,WA,6009,2/224 Hampden Road Crawley WA 6009,"$660,000",13/12/2017,Townhouse,2,2,1,69,82,1/01/2004,$525pw,1/02/2020,Realmark Central,-31.9750768,115.8136568
6/60 Broadway,Crawley,WA,6009,6/60 Broadway Crawley WA 6009,"$500,000",1/11/2017,Apartment,2,1,1,114,97,1/01/1938,$450pw,1/06/2021,Rossen Real Estate - Nedlands,-31.9813176,115.8148584
82/4 Crawley Avenue,Crawley,WA,6009,82/4 Crawley Avenue Crawley WA 6009,"$840,000",1/11/2017,Unit,2,2,2,158,162,1/01/1970,$620pw,1/06/2009,LJ Hooker - Dalkeith | Claremont,-31.9734066,115.8240093
16C Princess Road,Crawley,WA,6009,16C Princess Road Crawley WA 6009,"$607,000",1/11/2017,Townhouse,2,2,1,172,95,1/01/1938,$600pw,1/06/2019,Acton - Dalkeith,-31.98662,115.81676
25 70-72 Broadway,Crawley,WA,6009,25 70-72 Broadway Crawley WA 6009,"$337,500",1/11/2017,Unit,1,1,1,44,46,1/01/1964,0,1/01/1900,Residential West,-31.9821596,115.8148497
6/10 The Avenue,Crawley,WA,6009,6/10 The Avenue Crawley WA 6009,"$850,000",1/11/2017,Unit,2,2,2,105,105,1/01/1979,0,1/01/1900,Collective Property Group WA - COTTESLOE,-31.9874558,115.8174619
1/26 The Avenue,Crawley,WA,6009,1/26 The Avenue Crawley WA 6009,"$849,000",1/10/2017,House,3,2,2,110,110,1/01/1985,0,1/01/1900,Perth Lifestyle Residential - Lifestyle Is Where I,-31.9884991,115.8159214
32/212 Hampden Road,Crawley,WA,6009,32/212 Hampden Road Crawley WA 6009,"$252,000",1/10/2017,Apartment,1,1,1,39,39,1/01/1968,$260pw,1/12/2019,Kempton Azzopardi - Nedlands,-31.9749067,115.8137723
1/17-23 The Avenue,Crawley,WA,6009,1/17-23 The Avenue Crawley WA 6009,"$310,000",1/10/2017,Apartment,1,1,1,41,45,1/01/1963,$350pw,1/03/2021,Acton - Dalkeith,-31.9878111,115.8158643
8/8 Mounts Bay Road,Crawley,WA,6009,8/8 Mounts Bay Road Crawley WA 6009,"$2,050,000",1/09/2017,House,3,3,2,284,181,1/01/2006,0,1/01/1900,Perth Lifestyle Residential - Lifestyle Is Where I,-31.9728146,115.8260659
4/133 Fairway,Crawley,WA,6009,4/133 Fairway Crawley WA 6009,"$530,000",1/08/2017,Townhouse,2,1,1,104,97,1/01/1980,$400pw,1/01/2021,LJ Hooker - Dalkeith | Claremont,-31.9856896,115.8153206
7/10 The Avenue,Crawley,WA,6009,7/10 The Avenue Crawley WA 6009,"$1,125,000",1/08/2017,Apartment,3,2,2,152,152,1/01/1979,0,1/01/1900,Acton - Dalkeith,-31.9874558,115.8174619
22/70 Broadway,Crawley,WA,6009,22/70 Broadway Crawley WA 6009,"$253,000",1/07/2017,Apartment,1,1,1,48,48,1/01/1964,$285pw,1/01/2019,Kempton Azzopardi - Nedlands,-31.9821596,115.8148497
7/10 Kings Park Avenue,Crawley,WA,6009,7/10 Kings Park Avenue Crawley WA 6009,"$1,720,000",1/06/2017,Apartment,3,3,3,289,187,1/01/1999,$1350pw,1/06/2016,Vivians Residential Real Estate - MOSMAN PARK,-31.9720917,115.8263432
12/18 The Avenue,Crawley,WA,6009,12/18 The Avenue Crawley WA 6009,"$505,000",1/06/2017,Apartment,2,1,1,76,84,1/01/1968,$350pw,1/06/2018,Bellcourt Property Group - SHENTON PARK,-31.9881326,115.8168458
9/74 Broadway,Crawley,WA,6009,9/74 Broadway Crawley WA 6009,"$500,000",1/05/2017,Apartment,3,1,1,91,91,1/01/1966,$600pw,1/02/2020,Acton - Dalkeith,-31.9826014,115.8148584
5/18 The Avenue,Crawley,WA,6009,5/18 The Avenue Crawley WA 6009,"$480,000",1/05/2017,Apartment,2,1,1,70,78,1/01/1968,$420pw,1/07/2021,MAS Real Estate - Nedlands,-31.9881326,115.8168458
6/18 The Avenue,Crawley,WA,6009,6/18 The Avenue Crawley WA 6009,"$540,000",1/05/2017,Apartment,2,1,1,76,76,1/01/1968,$390pw,1/07/2021,MAS Real Estate - Nedlands,-31.9881326,115.8168458
4/15 Cook Street,Crawley,WA,6009,4/15 Cook Street Crawley WA 6009,"$565,000",1/05/2017,Townhouse,3,1,1,102,107,1/01/1981,0,1/01/1900,LJ Hooker Claremont,-31.9837438,115.8161756
13/48 Broadway,Crawley,WA,6009,13/48 Broadway Crawley WA 6009,"$400,000",1/05/2017,Townhouse,2,1,1,66,69,1/01/1982,$380pw,1/08/2020,Realmark Western Suburbs - NEDLANDS,-31.97997,115.81486
35/212 Hampden Road,Crawley,WA,6009,35/212 Hampden Road Crawley WA 6009,"$285,000",1/04/2017,Unit,1,1,1,39,39,1/01/1968,0,1/01/1900,No Agent Property,-31.9749067,115.8137723
3/166 Broadway,Crawley,WA,6009,3/166 Broadway Crawley WA 6009,"$2,100,000",1/04/2017,Apartment,4,3,3,368,300,1/01/1990,$1200pw,1/12/2016,William Porteous Properties International Pty Ltd ,-31.9886302,115.8161756
9A Princess Road,Crawley,WA,6009,9A Princess Road Crawley WA 6009,"$955,000",1/04/2017,House,3,2,1,267,132,1/01/1974,0,1/01/1900,Acton North - CITY BEACH,-31.98613,115.81728
3/121 Fairway,Crawley,WA,6009,3/121 Fairway Crawley WA 6009,"$800,000",1/03/2017,Townhouse,3,2,1,213,115,1/01/2000,$550pw,1/04/2017,Acton - Dalkeith,-31.9849969,115.8154592
12/18 Park Road,Crawley,WA,6009,12/18 Park Road Crawley WA 6009,"$525,000",1/03/2017,Apartment,1,1,1,97,61,1/01/2016,$370pw,1/05/2019,Mint Real Estate - Claremont,-31.9749,115.81419
8C Park Road,Crawley,WA,6009,8C Park Road Crawley WA 6009,"$550,000",1/03/2017,Townhouse,1,1,1,112,81,1/01/2001,$395pw,1/05/2017,Kempton Azzopardi - Nedlands,-31.97478,115.81486
5/22 The Avenue,Crawley,WA,6009,5/22 The Avenue Crawley WA 6009,"$1,300,000",1/03/2017,Apartment,2,2,2,142,142,1/01/1981,$590pw,1/08/2015,Realmark Western Suburbs - NEDLANDS,-31.98849,115.81646
10/14 Park Road,Crawley,WA,6009,10/14 Park Road Crawley WA 6009,"$605,000",1/03/2017,Townhouse,3,1,1,99,94,1/01/1977,$440pw,1/10/2020,Abel Property - Leederville,-31.97485,115.81448
1/153 Fairway,Crawley,WA,6009,1/153 Fairway Crawley WA 6009,"$455,000",1/03/2017,Unit,2,1,1,55,57,1/01/1964,$515pw,1/03/2013,The Property Exchange - Subiaco,-31.9871904,115.8152744
4/14 Cook Street,Crawley,WA,6009,4/14 Cook Street Crawley WA 6009,"$775,000",1/02/2017,Townhouse,3,2,2,123,123,1/01/1984,$600pw,1/01/2020,Airey Real Estate,-31.98314,115.8160661
3/11 The Avenue,Crawley,WA,6009,3/11 The Avenue Crawley WA 6009,"$900,000",1/02/2017,Townhouse,3,2,2,270,149,1/01/1996,$625pw,1/10/2017,Mack Hall Real Estate - Claremont,-31.9870635,115.8164969
9/25 The Avenue,Crawley,WA,6009,9/25 The Avenue Crawley WA 6009,"$470,000",1/02/2017,Unit,2,1,1,74,70,1/01/1965,$370pw,1/10/2020,Abel McGrath Property Group - Claremont,-31.9879772,115.8152744
6/14 Kings Park Avenue,Crawley,WA,6009,6/14 Kings Park Avenue Crawley WA 6009,"$835,000",1/02/2017,Apartment,3,2,2,190,190,1/01/1972,0,1/01/1900,Acton Cottesloe - Peppermint Grove,-31.9716011,115.8263162
47/3 Park Avenue,Crawley,WA,6009,47/3 Park Avenue Crawley WA 6009,"$1,650,000",1/02/2017,Apartment,3,2,2,175,175,1/01/1983,0,1/01/1900,Mack Hall Real Estate - Claremont,-31.9716501,115.8253265
11e 16 Kings Park Avenue,Crawley,WA,6009,11e 16 Kings Park Avenue Crawley WA 6009,"$949,500",1/02/2017,Apartment,3,2,2,,,1/01/1972,$895pw,31/12/2019,Mack Hall Real Estate - Claremont,-31.9716011,115.8263162
6/166 Broadway,Crawley,WA,6009,6/166 Broadway Crawley WA 6009,"$3,500,000",1/01/2017,Unit,4,2,3,374,374,1/01/1990,$1750pw,1/01/2017,William Porteous Properties International Pty Ltd ,-31.9886302,115.8161756
1/133 Fairway,Crawley,WA,6009,1/133 Fairway Crawley WA 6009,"$490,000",1/01/2017,Unit,2,1,1,90,87,1/01/1980,0,1/01/1900,not recorded,-31.9856896,115.8153206
