address,suburb,state,postcode,full_address,price,sold_date,type,bedrooms,bathrooms,car_space,Land_size,Building_size,built_date,rent,rent_date,agent,lat,lng
318/2 Moreau Parade,East Perth,WA,6004,318/2 Moreau Parade East Perth WA 6004,"$539,000",1/08/2021,Apartment,2,2,1,111,86,1/01/2015,0,1/01/1900,not recorded,-31.9609755,115.8776146
54/193 Hay Street,East Perth,WA,6004,54/193 Hay Street East Perth WA 6004,"$295,000",1/08/2021,Apartment,2,1,1,99,86,1/01/2000,0,1/01/1900,Joel Cooper,-31.9591622,115.8732016
30 Joel Terrace,East Perth,WA,6004,30 Joel Terrace East Perth WA 6004,"$1,100,000",1/07/2021,House,5,2,2,454,,1/01/1994,0,1/01/1900,Nadija Begovich,-31.943607,115.8796937
10/38 Fielder Street,East Perth,WA,6004,10/38 Fielder Street East Perth WA 6004,"$429,000",1/07/2021,Apartment,2,1,1,131,150,1/01/2009,$450pw,1/09/2018,Brendan Smith,-31.9502799,115.8733941
36/78 Terrace Road,East Perth,WA,6004,36/78 Terrace Road East Perth WA 6004,"$700,000",1/07/2021,Apartment,2,2,2,152,100,1/01/2005,$800pw,1/07/2013,Jasmyn Wright,-31.9605553,115.8701029
10/1 Henry Lawson Walk,East Perth,WA,6004,10/1 Henry Lawson Walk East Perth WA 6004,"$960,000",1/07/2021,Apartment,3,2,2,196,143,1/01/1999,$700pw,1/04/2014,Brendan Smith,-31.9512153,115.8804099
151/151 Adelaide Terrace,East Perth,WA,6004,151/151 Adelaide Terrace East Perth WA 6004,"$636,000",1/07/2021,Apartment,2,2,1,134,100,1/01/2008,$590pw,1/07/2018,Cherry Li,-31.9601109,115.8717923
147/143 Adelaide Terrace,East Perth,WA,6004,147/143 Adelaide Terrace East Perth WA 6004,"$300,000",1/07/2021,Apartment,1,1,1,67,40,1/01/2011,$375pw,1/05/2019,Rick Milankov,-31.9602744,115.8722775
7B/29 Trafalgar Road,East Perth,WA,6004,7B/29 Trafalgar Road East Perth WA 6004,"$2,750,000",1/07/2021,Apartment,4,2,2,431,247,1/01/2002,$2200pw,1/11/2011,Brendan Smith,-31.9548143,115.8798554
13/11 Bennett Street,East Perth,WA,6004,13/11 Bennett Street East Perth WA 6004,"$460,000",1/07/2021,Apartment,2,2,1,131,97,1/01/2008,$520pw,1/08/2013,not recorded,-31.960182,115.870792
11/43 Wickham Street,East Perth,WA,6004,11/43 Wickham Street East Perth WA 6004,"$460,000",1/07/2021,Apartment,2,2,1,108,68,1/01/2014,$500pw,1/07/2016,Brendan Smith,-31.95475,115.87484
47B Trafalgar Road,East Perth,WA,6004,47B Trafalgar Road East Perth WA 6004,"$869,000",1/07/2021,House,3,2,1,530,152,1/01/2000,$520pw,1/01/2020,Brendan Smith,-31.95367,115.87995
73/18 Wellington Street,East Perth,WA,6004,73/18 Wellington Street East Perth WA 6004,"$480,000",1/07/2021,Apartment,2,2,1,113,81,1/01/2011,$510pw,1/09/2018,not recorded,-31.9563843,115.8748959
8/153 Kensington Street,East Perth,WA,6004,8/153 Kensington Street East Perth WA 6004,"$388,000",1/07/2021,Apartment,2,2,1,124,85,1/01/2010,0,1/01/1900,Brendan Smith,-31.95029,115.87381
607/108 Terrace Road,East Perth,WA,6004,607/108 Terrace Road East Perth WA 6004,"$839,000",1/07/2021,Apartment,3,2,1,148,119,1/01/2003,$725pw,1/12/2016,Peter Wright,-31.9600184,115.8677491
33/7-9 Bennett Street,East Perth,WA,6004,33/7-9 Bennett Street East Perth WA 6004,"$400,000",1/07/2021,Apartment,2,2,1,110,87,1/01/2002,$460pw,1/12/2019,Chris O'Brien,-31.96037,115.87071
9/112-122 Goderich Street,East Perth,WA,6004,9/112-122 Goderich Street East Perth WA 6004,"$180,000",1/07/2021,Apartment,1,1,1,50,40,1/01/1968,$240pw,1/11/2017,Larry Gallagher,-31.9563378,115.8702339
16 Gardiner Street,East Perth,WA,6004,16 Gardiner Street East Perth WA 6004,"$1,000,000",1/07/2021,House,2,1,1,732,92,1/01/1930,$335pw,1/04/2016,not recorded,-31.9406893,115.8799709
1810/8 Adelaide Terrace,East Perth,WA,6004,1810/8 Adelaide Terrace East Perth WA 6004,"$518,888",1/06/2021,Apartment,2,1,1,74,74,1/01/2014,0,1/01/1900,not recorded,-31.96126,115.8771577
20/18 Wellington Street,East Perth,WA,6004,20/18 Wellington Street East Perth WA 6004,"$415,000",1/06/2021,Apartment,2,2,1,117,79,1/01/2011,0,1/01/1900,Brendon Habak,-31.9563843,115.8748959
3106/63 Adelaide Terrace,East Perth,WA,6004,3106/63 Adelaide Terrace East Perth WA 6004,"$605,000",1/06/2021,Apartment,2,2,1,97,70,1/01/2019,0,1/01/1900,Peter Wright,-31.9611813,115.8749575
8/2 Henry Lawson Walk,East Perth,WA,6004,8/2 Henry Lawson Walk East Perth WA 6004,"$743,000",1/06/2021,Apartment,3,2,2,170,127,1/01/1999,$630pw,1/03/2019,Brendan Smith,-31.9512134,115.8799691
807/251 Hay Street,East Perth,WA,6004,807/251 Hay Street East Perth WA 6004,"$335,000",1/06/2021,Apartment,2,1,1,105,84,1/01/2007,$390pw,1/05/2018,not recorded,-31.9583649,115.8708987
67/149-151 Adelaide Terrace,East Perth,WA,6004,67/149-151 Adelaide Terrace East Perth WA 6004,"$500,000",1/06/2021,Apartment,2,2,1,131,97,1/01/2008,0,1/01/1900,not recorded,-31.9604775,115.8716965
95/181 Adelaide Terrace,East Perth,WA,6004,95/181 Adelaide Terrace East Perth WA 6004,"$832,500",1/06/2021,Apartment,3,2,2,180,114,1/01/2012,$795pw,1/12/2019,Brendon Habak,-31.9596519,115.8708104
505/35 Bronte Street,East Perth,WA,6004,505/35 Bronte Street East Perth WA 6004,"$410,000",1/06/2021,Apartment,1,1,1,80,50,1/01/2018,0,1/01/1900,not recorded,-31.9559462,115.8749099
5/40 Wellington Street,East Perth,WA,6004,5/40 Wellington Street East Perth WA 6004,"$350,000",1/06/2021,Apartment,3,1,1,107,91,1/01/1993,$400pw,1/07/2019,Ryan Joseph,-31.9563959,115.8744954
76/125 Wellington Street,East Perth,WA,6004,76/125 Wellington Street East Perth WA 6004,"$355,000",1/06/2021,Apartment,3,1,1,123,93,1/01/2000,$400pw,1/09/2016,not recorded,-31.9556598,115.870175
609/251 Hay Street,East Perth,WA,6004,609/251 Hay Street East Perth WA 6004,"$373,000",1/06/2021,Apartment,2,2,1,91,79,1/01/2007,$400pw,1/10/2016,not recorded,-31.9583649,115.8708987
201/9 Tully Road,East Perth,WA,6004,201/9 Tully Road East Perth WA 6004,"$535,000",1/06/2021,Apartment,2,2,1,143,71,1/01/2019,0,1/01/1900,Brendan Smith,-31.9488636,115.8772379
26/43 Wickham Street,East Perth,WA,6004,26/43 Wickham Street East Perth WA 6004,"$365,000",1/06/2021,Apartment,1,1,1,50,50,1/01/2014,$375pw,1/05/2020,Peter Wright,-31.95475,115.87484
603/108 Terrace Road,East Perth,WA,6004,603/108 Terrace Road East Perth WA 6004,"$730,000",1/06/2021,Apartment,2,2,1,130,98,1/01/2003,$700pw,1/04/2015,Jasmyn Wright,-31.9600184,115.8677491
37 Arden Street,East Perth,WA,6004,37 Arden Street East Perth WA 6004,"$1,685,000",1/06/2021,House,4,2,2,204,205,1/01/1996,$750pw,1/08/2015,ANGELA SHENG,-31.95341,115.88149
2501/8 Adelaide Terrace,East Perth,WA,6004,2501/8 Adelaide Terrace East Perth WA 6004,"$2,000,000",1/06/2021,Apartment,4,3,2,230,230,1/01/2014,0,1/01/1900,Jasmyn Wright,-31.96126,115.8771577
18/208 Adelaide Terrace,East Perth,WA,6004,18/208 Adelaide Terrace East Perth WA 6004,"$565,000",1/06/2021,Apartment,3,2,2,136,95,1/01/2014,$500pw,1/09/2019,Brad Triplett,-31.9584317,115.8689505
3108/63 Adelaide Terrace,East Perth,WA,6004,3108/63 Adelaide Terrace East Perth WA 6004,"$780,000",1/06/2021,Apartment,2,2,1,110,77,1/01/2019,0,1/01/1900,Peter Wright,-31.9611813,115.8749575
602/251 Hay Street,East Perth,WA,6004,602/251 Hay Street East Perth WA 6004,"$345,000",1/06/2021,Apartment,2,1,1,81,68,1/01/2007,$350pw,1/10/2019,Tim Whall,-31.9583649,115.8708987
11/108-112 Royal Street,East Perth,WA,6004,11/108-112 Royal Street East Perth WA 6004,"$489,500",1/06/2021,Apartment,2,2,1,120,89,1/01/1999,0,1/01/1900,Emily Garden,-31.952916,115.8757267
106/131 Adelaide Terrace,East Perth,WA,6004,106/131 Adelaide Terrace East Perth WA 6004,"$589,000",1/06/2021,Apartment,3,2,2,161,111,1/01/2007,$550pw,1/03/2019,Daniel Colbert,-31.9603998,115.8724623
503/35 Bronte Street,East Perth,WA,6004,503/35 Bronte Street East Perth WA 6004,"$395,000",1/05/2021,Apartment,1,1,1,81,50,1/01/2018,0,1/01/1900,Chris O'Brien,-31.9559462,115.8749099
502/9 Tully Road,East Perth,WA,6004,502/9 Tully Road East Perth WA 6004,"$405,000",1/05/2021,Apartment,1,1,1,84,47,1/01/2019,0,1/01/1900,Brendan Smith,-31.9488636,115.8772379
16/123 Wellington Street,East Perth,WA,6004,16/123 Wellington Street East Perth WA 6004,"$390,000",1/05/2021,Apartment,2,2,1,105,74,1/01/2000,0,1/01/1900,Nik Zounis,-31.9560914,115.8709157
603/63 Adelaide Terrace,East Perth,WA,6004,603/63 Adelaide Terrace East Perth WA 6004,"$510,000",1/05/2021,Apartment,2,2,1,109,71,1/01/2019,0,1/01/1900,Peter Wright,-31.9611813,115.8749575
24A Kensington Street,East Perth,WA,6004,24A Kensington Street East Perth WA 6004,"$952,000",1/05/2021,Townhouse,3,3,2,114,166,1/01/2001,0,1/01/1900,Brendan Smith,-31.94982,115.87875
18/37 Brown Street,East Perth,WA,6004,18/37 Brown Street East Perth WA 6004,"$535,000",1/05/2021,Apartment,2,2,1,110,93,1/01/2000,$450pw,1/09/2019,Brendan Smith,-31.95134,115.8778
1/30 Bronte Street,East Perth,WA,6004,1/30 Bronte Street East Perth WA 6004,"$420,000",1/05/2021,Apartment,2,1,1,117,88,1/01/1998,0,1/01/1900,not recorded,-31.9554739,115.8752116
15 Haig Park Circle,East Perth,WA,6004,15 Haig Park Circle East Perth WA 6004,"$1,900,000",1/05/2021,House,4,3,3,175,300,1/01/2002,0,1/01/1900,Brendan Smith,-31.95391,115.87956
