address,suburb,state,postcode,full_address,price,sold_date,type,bedrooms,bathrooms,car_space,Land_size,Building_size,built_date,rent,rent_date,agent,lat,lng
30 Loftus Street,Nedlands,WA,6009,30 Loftus Street Nedlands WA 6009,"$1,540,000",1/07/2021,House,3,1,2,696,,1/01/1945,0,1/01/1900,Belinda Airey,-31.9778646,115.7928118
95 Broadway,Nedlands,WA,6009,95 Broadway Nedlands WA 6009,"$2,280,000",1/07/2021,House,5,3,0,883,268,1/01/1923,$995pw,1/09/2014,not recorded,-31.9827834,115.8142114
42 Kinninmont Avenue,Nedlands,WA,6009,42 Kinninmont Avenue Nedlands WA 6009,"$2,050,000",1/07/2021,House,3,1,1,1012,186,1/01/1950,0,1/01/1900,Jac Fear,-31.9776428,115.8049908
103/139 Broadway,Nedlands,WA,6009,103/139 Broadway Nedlands WA 6009,"$789,000",1/07/2021,Apartment,2,2,2,,91,1/01/2020,0,1/01/1900,not recorded,-31.9871316,115.8142114
15 Vincent Street,Nedlands,WA,6009,15 Vincent Street Nedlands WA 6009,"$1,960,000",1/07/2021,House,3,2,2,996,,1/01/1940,$650pw,1/05/2015,Simon Maynard,-31.9817459,115.7985894
19 Vincent Street,Nedlands,WA,6009,19 Vincent Street Nedlands WA 6009,"$1,960,000",1/07/2021,House,2,1,1,996,,1/01/1936,0,1/01/1900,Simon Maynard,-31.9820929,115.7986125
3/28 Stirling Highway,Nedlands,WA,6009,3/28 Stirling Highway Nedlands WA 6009,"$574,000",1/07/2021,Apartment,2,2,1,98,98,1/01/1979,$580pw,1/10/2015,Andy Thorpe,-31.9782863,115.8104797
50 Kanimbla Road,Nedlands,WA,6009,50 Kanimbla Road Nedlands WA 6009,"$1,000,000",1/06/2021,House,3,2,2,297,90,1/01/1985,0,1/01/1900,David Airey,-31.9742262,115.8157976
16 Williams Road,Nedlands,WA,6009,16 Williams Road Nedlands WA 6009,"$1,070,000",1/06/2021,House,2,1,1,455,115,1/01/1936,$450pw,1/08/2017,not recorded,-31.9720359,115.8095434
34 Bruce Street,Nedlands,WA,6009,34 Bruce Street Nedlands WA 6009,"$2,480,000",1/06/2021,House,4,2,6,883,282,1/01/1938,0,1/01/1900,Michelle Kerr,-31.9826149,115.8114614
29B Dalkeith Road,Nedlands,WA,6009,29B Dalkeith Road Nedlands WA 6009,"$1,100,000",1/06/2021,House,3,2,4,312,186,1/01/1999,$900pw,1/08/2013,Michelle Kerr,-31.9787328,115.8020327
1B Rockton Road,Nedlands,WA,6009,1B Rockton Road Nedlands WA 6009,"$1,175,000",1/05/2021,House,3,2,1,317,146,1/01/1989,$750pw,1/03/2020,not recorded,-31.9819076,115.7913111
135 Broadway,Nedlands,WA,6009,135 Broadway Nedlands WA 6009,"$2,375,000",1/05/2021,House,3,1,2,880,115,1/01/1918,$330pw,1/04/2020,Tony Cowan,-31.9867903,115.8142576
23 Meriwa Street,Nedlands,WA,6009,23 Meriwa Street Nedlands WA 6009,"$1,410,000",1/05/2021,House,3,2,2,513,215,1/01/1950,$800pw,1/12/2017,Michelle Kerr,-31.9729195,115.8100518
3/89-91 Stirling Highway,Nedlands,WA,6009,3/89-91 Stirling Highway Nedlands WA 6009,"$467,000",1/05/2021,Apartment,2,1,1,87,87,1/01/1937,$495pw,1/04/2021,Michelle Ralph,-31.97889,115.80332
36 Archdeacon Street,Nedlands,WA,6009,36 Archdeacon Street Nedlands WA 6009,"$2,980,000",1/04/2021,House,5,3,2,809,375,1/01/1950,0,1/01/1900,Michelle Kerr,-31.9819191,115.8103753
1/53 Stirling Highway,Nedlands,WA,6009,1/53 Stirling Highway Nedlands WA 6009,"$420,000",1/04/2021,Apartment,2,1,1,84,84,1/01/1966,$370pw,1/03/2020,Jac Fear,-31.9779168,115.8086549
4/14 Monash Avenue,Nedlands,WA,6009,4/14 Monash Avenue Nedlands WA 6009,"$615,000",1/04/2021,Townhouse,3,1,1,104,109,1/01/1981,0,1/01/1900,Marie Staniland,-31.970871,115.8164126
51 Stanley Street,Nedlands,WA,6009,51 Stanley Street Nedlands WA 6009,"$1,830,000",1/04/2021,House,6,2,2,1012,256,1/01/1949,$920pw,1/03/2018,not recorded,-31.9843093,115.8048059
2 Thomas Street,Nedlands,WA,6009,2 Thomas Street Nedlands WA 6009,"$1,850,000",1/04/2021,House,3,2,2,1046,101,1/01/1945,0,1/01/1900,Michelle Kerr,-31.9787993,115.8083417
7/59 Dalkeith Road,Nedlands,WA,6009,7/59 Dalkeith Road Nedlands WA 6009,"$620,000",1/04/2021,Townhouse,3,1,1,93,93,1/01/1978,$390pw,1/08/2020,Kate Gale,-31.9800931,115.8022618
88 Bruce Street,Nedlands,WA,6009,88 Bruce Street Nedlands WA 6009,"$1,530,000",1/04/2021,House,3,3,2,342,180,1/01/1950,0,1/01/1900,Michelle Kerr,-31.98993,115.81138
104 Williams Road,Nedlands,WA,6009,104 Williams Road Nedlands WA 6009,"$745,000",1/03/2021,House,2,1,1,343,93,1/01/1945,$380pw,1/02/2020,Alison Davies,-31.97729,115.80986
14 Karella Street,Nedlands,WA,6009,14 Karella Street Nedlands WA 6009,"$1,450,000",1/03/2021,House,3,3,2,594,205,1/01/1965,0,1/01/1900,Susan James,-31.9730945,115.8061001
14 Loch Street,Nedlands,WA,6009,14 Loch Street Nedlands WA 6009,"$950,000",1/03/2021,House,2,1,1,696,130,1/01/1920,0,1/01/1900,Stuart Paterson,-31.9766244,115.7916563
15/26 Broome Street,Nedlands,WA,6009,15/26 Broome Street Nedlands WA 6009,"$555,000",1/03/2021,House,3,1,1,110,110,1/01/1976,$430pw,1/09/2016,Peter Clements,-31.97934,115.79901
66 Bruce Street,Nedlands,WA,6009,66 Bruce Street Nedlands WA 6009,"$2,250,000",1/03/2021,House,6,3,2,880,403,1/01/1930,0,1/01/1900,not recorded,-31.9856994,115.811369
2/16 Monash Avenue,Nedlands,WA,6009,2/16 Monash Avenue Nedlands WA 6009,"$615,000",1/03/2021,Townhouse,3,1,1,107,107,1/01/1981,$495pw,1/10/2015,not recorded,-31.97087,115.81617
16 Mountjoy Road,Nedlands,WA,6009,16 Mountjoy Road Nedlands WA 6009,"$2,416,000",1/03/2021,House,4,2,2,1012,210,1/01/1960,0,1/01/1900,Mitra Roshan,-31.9811875,115.8017323
