address,suburb,state,postcode,full_address,price,sold_date,type,bedrooms,bathrooms,car_space,Land_size,Building_size,built_date,rent,rent_date,agent,lat,lng
1/10 Pendal Lane,Perth,WA,6000,1/10 Pendal Lane Perth WA 6000,"$359,000",1/08/2020,Apartment,2,2,1,96,90,1/01/2003,$470pw,1/06/2010,not recorded,-31.9432751,115.8560119
1/10 Wright Street,Perth,WA,6000,1/10 Wright Street Perth WA 6000,"$355,000",1/04/2020,Townhouse,2,1,1,62,62,1/01/1979,$340pw,1/10/2018,not recorded,-31.9403824,115.8737132
1/308 Stirling Street,Perth,WA,6000,1/308 Stirling Street Perth WA 6000,"$325,000",1/05/2021,Unit,2,1,1,59,59,1/01/1965,$300pw,1/04/2012,Peter Thomas,-31.9422379,115.8694357
1/33 Windsor Street,Perth,WA,6000,1/33 Windsor Street Perth WA 6000,"$360,000",1/07/2020,Apartment,2,2,1,97,56,1/01/2016,$360pw,1/03/2020,not recorded,-31.94432,115.87452
1/478 William Street,Perth,WA,6000,1/478 William Street Perth WA 6000,"$523,000",1/06/2021,Apartment,2,2,2,129,90,1/01/2009,$475pw,1/07/2020,not recorded,-31.94126,115.8638444
1/63 Palmerston Street,Perth,WA,6000,1/63 Palmerston Street Perth WA 6000,"$821,000",1/12/2019,House,3,2,2,176,185,1/01/2000,0,1/01/1900,Carlos Lehn,-31.9394,115.8594
10 Church Street,Perth,WA,6000,10 Church Street Perth WA 6000,"$810,000",1/06/2020,House,3,2,1,144,,1/01/2016,$610pw,1/08/2017,Michael Mort,-31.94362,115.8585
10 Pisconeri Street,Perth,WA,6000,10 Pisconeri Street Perth WA 6000,"$1,308,000",1/05/2021,House,4,2,3,302,289,1/01/2008,$700pw,1/04/2018,Daniel Porcaro,-31.9485212,115.8675002
10 Robinson Avenue,Perth,WA,6000,10 Robinson Avenue Perth WA 6000,"$880,000",1/04/2020,House,2,2,2,241,174,1/01/1995,$550pw,1/10/2018,Claude Iaconi,-31.9442908,115.8642977
10/10 Wright Street,Perth,WA,6000,10/10 Wright Street Perth WA 6000,"$447,500",1/09/2020,Townhouse,2,1,1,62,62,1/01/1979,$460pw,1/06/2013,not recorded,-31.9439724,115.8719309
10/20 Pendal Lane,Perth,WA,6000,10/20 Pendal Lane Perth WA 6000,"$390,000",1/01/2021,Apartment,2,2,1,113,88,1/01/2003,0,1/01/1900,Peter MacDonald,-31.9428408,115.8561043
100/101 Murray Street,Perth,WA,6000,100/101 Murray Street Perth WA 6000,"$330,000",1/08/2020,Apartment,1,1,1,70,61,1/01/2011,$450pw,1/01/2019,not recorded,-31.9542262,115.8620192
100/22 St Georges Terrace,Perth,WA,6000,100/22 St Georges Terrace Perth WA 6000,"$385,000",1/12/2020,Apartment,1,1,1,93,67,1/01/2009,$500pw,1/01/2021,not recorded,-31.9564827,115.8638659
1013/380 Murray Street,Perth,WA,6000,1013/380 Murray Street Perth WA 6000,"$399,950",1/09/2020,Apartment,1,1,0,73,44,1/01/2020,0,1/01/1900,not recorded,-31.9511862,115.8542076
104/15 Aberdeen Street,Perth,WA,6000,104/15 Aberdeen Street Perth WA 6000,"$409,000",1/11/2020,Apartment,2,2,1,101,72,1/01/2014,$460pw,1/09/2016,not recorded,-31.949662,115.8652097
104/305 Murray Street,Perth,WA,6000,104/305 Murray Street Perth WA 6000,"$245,000",1/06/2021,Apartment,1,1,0,31,31,1/01/2003,0,1/01/1900,not recorded,-31.9524313,115.8565664
