address,suburb,state,postcode,full_address,price,sold_date,type,bedrooms,bathrooms,car_space,Land_size,Building_size,built_date,rent,rent_date,agent,lat,lng
10/2 Mayfair Street,West Perth,WA,6005,10/2 Mayfair Street West Perth WA 6005,"$410,000",1/08/2021,Apartment,2,2,1,102,81,1/01/2001,$400pw,1/06/2019,not recorded,-31.94858,115.84352
42/33 MALCOLM STREET,West Perth,WA,6005,42/33 MALCOLM STREET West Perth WA 6005,"$1,050,000",1/07/2021,House,3,2,2,158,140,1/01/2010,$1200pw,1/02/2019,not recorded,-31.9534429,115.8473896
6/16 Carr Street,West Perth,WA,6005,6/16 Carr Street West Perth WA 6005,"$550,000",1/07/2021,Townhouse,3,2,2,190,107,1/01/1990,0,1/01/1900,Ashby Farrell,-31.9405829,115.854431
11/875 Wellington Street,West Perth,WA,6005,11/875 Wellington Street West Perth WA 6005,"$110,000",1/07/2021,Apartment,1,1,0,34,34,1/01/1985,0,1/01/1900,Daniel Porcaro,-31.947954,115.8463075
6/1 Carr Street,West Perth,WA,6005,6/1 Carr Street West Perth WA 6005,"$442,000",1/07/2021,Apartment,3,1,1,156,88,1/01/1998,$575pw,1/03/2021,Annette O'Brien-Oxley,-31.9415034,115.8542559
1607/659 Murray,West Perth,WA,6005,1607/659 Murray West Perth WA 6005,"$610,000",1/07/2021,Apartment,2,2,1,111,74,1/01/2018,0,1/01/1900,Ian Fatharly,-31.9488032,115.845545
2/60 Cleaver Street,West Perth,WA,6005,2/60 Cleaver Street West Perth WA 6005,"$510,000",1/07/2021,Apartment,3,1,2,183,119,1/01/1992,$420pw,1/01/2019,Peter Hall,-31.93774,115.84964
5/132 Carr Street,West Perth,WA,6005,5/132 Carr Street West Perth WA 6005,"$480,000",1/07/2021,Apartment,2,1,1,77,72,1/01/1976,0,1/01/1900,not recorded,-31.9374486,115.8481907
11/129 Carr Street,West Perth,WA,6005,11/129 Carr Street West Perth WA 6005,"$420,000",1/07/2021,Townhouse,2,1,1,156,82,1/01/1991,0,1/01/1900,not recorded,-31.9384198,115.8482484
5/146 Carr Street,West Perth,WA,6005,5/146 Carr Street West Perth WA 6005,"$430,000",1/07/2021,Apartment,3,1,1,101,83,1/01/1995,$390pw,1/11/2018,not recorded,-31.9373336,115.8476246
22/105 Colin Street,West Perth,WA,6005,22/105 Colin Street West Perth WA 6005,"$700,000",1/06/2021,Apartment,3,2,2,155,113,1/01/2001,0,1/01/1900,Richard Self,-31.9465842,115.842703
5/123C COLIN Street,West Perth,WA,6005,5/123C COLIN Street West Perth WA 6005,"$345,000",1/06/2021,Apartment,2,1,1,105,91,1/01/1997,$390pw,1/06/2018,Claude Iaconi,-31.9457068,115.8429401
17/66 Cleaver Street,West Perth,WA,6005,17/66 Cleaver Street West Perth WA 6005,"$175,000",1/06/2021,Unit,1,1,1,42,40,1/01/1970,$200pw,1/09/2019,not recorded,-31.9373671,115.8495655
10/14 Lawley Street,West Perth,WA,6005,10/14 Lawley Street West Perth WA 6005,"$198,000",1/06/2021,Apartment,1,1,1,54,36,1/01/1969,0,1/01/1900,Darcy Glynn,-31.9378803,115.8557636
2/11 Colin Street,West Perth,WA,6005,2/11 Colin Street West Perth WA 6005,"$480,000",1/06/2021,Apartment,1,1,2,117,51,1/01/1936,$440pw,1/02/2021,not recorded,-31.9517311,115.8404617
16/21 Altona Street,West Perth,WA,6005,16/21 Altona Street West Perth WA 6005,"$591,000",1/06/2021,Apartment,2,2,1,74,74,1/01/2014,$550pw,1/03/2017,James Thompson,-31.9508438,115.8395682
3/143 Carr Street,West Perth,WA,6005,3/143 Carr Street West Perth WA 6005,"$610,000",1/06/2021,Townhouse,3,2,2,168,113,1/01/1993,$525pw,1/01/2020,Richard Self,-31.93816,115.84741
36/7 Delhi Street,West Perth,WA,6005,36/7 Delhi Street West Perth WA 6005,"$430,000",1/06/2021,Apartment,2,2,1,110,82,1/01/2002,$420pw,1/05/2019,Annie Kowal,-31.9469085,115.8463538
1802/659 Murray Street,West Perth,WA,6005,1802/659 Murray Street West Perth WA 6005,"$385,000",1/06/2021,Apartment,1,1,1,75,58,1/01/2018,0,1/01/1900,Joel Cooper,-31.9488032,115.845545
64/1 Carr Street,West Perth,WA,6005,64/1 Carr Street West Perth WA 6005,"$445,000",1/06/2021,Unit,3,2,1,117,85,1/01/1998,0,1/01/1900,Simon Pigliardo,-31.9415034,115.8542559
13/15-19 Carr Street,West Perth,WA,6005,13/15-19 Carr Street West Perth WA 6005,"$425,000",1/06/2021,Apartment,2,2,1,128,81,1/01/2007,$460pw,1/09/2015,Richard Self,-31.9407246,115.8540108
8c/1303 Hay Street,West Perth,WA,6005,8c/1303 Hay Street West Perth WA 6005,"$680,000",1/05/2021,Apartment,2,2,2,161,98,1/01/2007,0,1/01/1900,Richard Self,-31.9481189,115.8391904
213 Vincent Street,West Perth,WA,6005,213 Vincent Street West Perth WA 6005,"$790,000",1/05/2021,House,3,1,1,319,,1/01/1925,0,1/01/1900,Helen Bond,-31.9368407,115.8515471
4/14 Lawley Street,West Perth,WA,6005,4/14 Lawley Street West Perth WA 6005,"$195,000",1/05/2021,Apartment,1,1,1,54,36,1/01/1969,$250pw,1/08/2018,Darcy Glynn,-31.9378803,115.8557636
30/5 Delhi Street,West Perth,WA,6005,30/5 Delhi Street West Perth WA 6005,"$495,000",1/05/2021,Apartment,3,2,1,123,97,1/01/2001,0,1/01/1900,Richard Self,-31.94625,115.84659
1306/659 Murray Street,West Perth,WA,6005,1306/659 Murray Street West Perth WA 6005,"$572,000",1/05/2021,Apartment,2,2,1,115,77,1/01/2018,0,1/01/1900,not recorded,-31.9488032,115.845545
26/36 Kings Park Road,West Perth,WA,6005,26/36 Kings Park Road West Perth WA 6005,"$360,000",1/05/2021,Apartment,1,1,1,93,65,1/01/2005,$375pw,1/08/2018,Suzana Angeleska,-31.9517795,115.838625
10/11 Altona Street,West Perth,WA,6005,10/11 Altona Street West Perth WA 6005,"$500,000",1/05/2021,Apartment,2,2,1,123,88,1/01/2004,$500pw,1/04/2016,Jill McQuoid,-31.9512996,115.8393988
1/7 Delhi Street,West Perth,WA,6005,1/7 Delhi Street West Perth WA 6005,"$410,000",1/05/2021,Apartment,2,2,1,108,79,1/01/2002,$430pw,1/07/2017,not recorded,-31.9469085,115.8463538
8/4 Delhi Street,West Perth,WA,6005,8/4 Delhi Street West Perth WA 6005,"$430,000",1/04/2021,Apartment,2,2,2,131,78,1/01/2006,$400pw,1/07/2018,Anil Singh,-31.9452984,115.8455682
22 Florence Place,West Perth,WA,6005,22 Florence Place West Perth WA 6005,"$790,000",1/04/2021,Townhouse,3,2,2,195,141,1/01/1915,$775pw,1/05/2021,Peter Wright,-31.9369522,115.8516018
E12/161 Colin Street,West Perth,WA,6005,E12/161 Colin Street West Perth WA 6005,"$825,000",1/04/2021,Apartment,3,3,2,234,117,1/01/1998,0,1/01/1900,Kim Turner,-31.9447,115.84301
15A Victoria Street,West Perth,WA,6005,15A Victoria Street West Perth WA 6005,"$755,000",1/04/2021,Townhouse,3,2,2,189,144,1/01/1994,$450pw,1/08/2014,Joe Raschilla,-31.938443,115.85356
68/34 Kings Park Road,West Perth,WA,6005,68/34 Kings Park Road West Perth WA 6005,"$582,000",1/04/2021,Apartment,2,2,1,127,96,1/01/2005,0,1/01/1900,Julian Leach,-31.9517795,115.838625
4E/1303 Hay Street,West Perth,WA,6005,4E/1303 Hay Street West Perth WA 6005,"$360,000",1/04/2021,Apartment,1,1,1,99,68,1/01/2007,$350pw,1/11/2018,Matt Seabrook,-31.9481189,115.8391904
6/19 Ventnor Avenue,West Perth,WA,6005,6/19 Ventnor Avenue West Perth WA 6005,"$395,000",1/04/2021,Apartment,2,2,1,100,75,1/01/1997,0,1/01/1900,Richard Self,-31.9499262,115.8376195
3/2a Janet Street,West Perth,WA,6005,3/2a Janet Street West Perth WA 6005,"$550,000",1/04/2021,Townhouse,3,2,1,188,104,1/01/1998,$400pw,1/06/2019,Richard Self,-31.93788,115.85231
5/32 Cowle Street,West Perth,WA,6005,5/32 Cowle Street West Perth WA 6005,"$390,000",1/04/2021,Apartment,1,1,1,78,51,1/01/2016,$325pw,1/02/2019,Carla Yazmadjian,-31.9396128,115.8549553
57/2 Mayfair Street,West Perth,WA,6005,57/2 Mayfair Street West Perth WA 6005,"$366,000",1/04/2021,Apartment,1,1,1,88,66,1/01/2001,$380pw,1/04/2021,Brad Triplett,-31.94858,115.84352
1/11 Colin Street,West Perth,WA,6005,1/11 Colin Street West Perth WA 6005,"$607,500",1/04/2021,Apartment,1,1,2,145,54,1/01/1948,$595pw,1/11/2011,Emily Garden,-31.9517311,115.8404617
43/1178 Hay Street,West Perth,WA,6005,43/1178 Hay Street West Perth WA 6005,"$395,000",1/03/2021,Apartment,2,1,1,94,56,1/01/2011,0,1/01/1900,not recorded,-31.9487453,115.8438121
3/26 Florence Street,West Perth,WA,6005,3/26 Florence Street West Perth WA 6005,"$570,000",1/03/2021,Townhouse,3,1,2,183,110,1/01/1985,0,1/01/1900,Claude Iaconi,-31.93773,115.85097
10/105 Colin Street,West Perth,WA,6005,10/105 Colin Street West Perth WA 6005,"$320,000",1/03/2021,Apartment,1,1,1,79,57,1/01/2001,$350pw,1/02/2021,not recorded,-31.9465842,115.842703
4/47 Malcolm Street,West Perth,WA,6005,4/47 Malcolm Street West Perth WA 6005,"$632,500",1/03/2021,Apartment,3,2,2,149,97,1/01/2003,0,1/01/1900,Andy Thorpe,-31.9535996,115.84678
1/83 Carr Street,West Perth,WA,6005,1/83 Carr Street West Perth WA 6005,"$465,000",1/03/2021,Apartment,2,1,0,75,75,1/01/1930,0,1/01/1900,Claude Iaconi,-31.9395696,115.8506745
40/1 Douro Place,West Perth,WA,6005,40/1 Douro Place West Perth WA 6005,"$508,000",1/03/2021,Apartment,2,2,2,125,75,1/01/2010,$550pw,1/02/2019,Richard Self,-31.9454139,115.8413431
32 Oak Lane,West Perth,WA,6005,32 Oak Lane West Perth WA 6005,"$485,000",1/03/2021,Townhouse,3,1,1,172,115,1/01/2000,$550pw,1/04/2021,Carla Yazmadjian,-31.9366644,115.8522512
20/69 Malcolm Street,West Perth,WA,6005,20/69 Malcolm Street West Perth WA 6005,"$820,000",1/03/2021,Apartment,3,2,2,312,124,1/01/1994,0,1/01/1900,Peter Wright,-31.9539557,115.845753
11/8 OUTRAM Street,West Perth,WA,6005,11/8 OUTRAM Street West Perth WA 6005,"$640,000",1/03/2021,Apartment,2,2,2,129,86,1/01/2008,$695pw,1/01/2018,Richard Self,-31.9511616,115.8388904
13/47 Malcolm Street,West Perth,WA,6005,13/47 Malcolm Street West Perth WA 6005,"$770,000",1/03/2021,Unit,3,2,2,161,66,1/01/2003,$750pw,1/05/2020,Carole Saville,-31.9535996,115.84678
7/20 Kingston Avenue,West Perth,WA,6005,7/20 Kingston Avenue West Perth WA 6005,"$320,000",1/03/2021,Unit,2,1,1,79,60,1/01/1976,0,1/01/1900,not recorded,-31.9389435,115.8480554
