address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,car space,Land size,Building size,Year Built,rent,rent date,agent,lat,lng
73 Fairway,Crawley,WA,6009,73 Fairway Crawley WA 6009,"$1,180,000",2021-06-01,House,2,1,2,607,131,1939-01-01,$550pw,2021-08-01,Jack Bradshaw,-31.9821596,115.8153668
69 Fairway,Crawley,WA,6009,69 Fairway Crawley WA 6009,"$1,225,000",2021-06-01,House,2,1,2,607,,1926-01-01,$500pw,2021-08-01,Brian Neo,-31.9818697,115.8153668
65 Fairway,Crawley,WA,6009,65 Fairway Crawley WA 6009,"$1,225,000",2021-06-01,House,2,1,2,607,77,1921-01-01,$310pw,2008-06-01,Jack Bradshaw,-31.9817455,115.8153668
57 Fairway,Crawley,WA,6009,57 Fairway Crawley WA 6009,"$1,650,000",2021-06-01,Apartment,10,4,6,607,81,1965-01-01,$167pw,2015-10-01,Jack Bradshaw,-31.98118,115.8153
55 Fairway,Crawley,WA,6009,55 Fairway Crawley WA 6009,"$1,275,000",2021-06-01,House,3,2,2,607,164,1948-01-01,0,1900-01-01,Brian Neo,-31.9810515,115.8153206
150 Fairway,Crawley,WA,6009,150 Fairway Crawley WA 6009,"$3,500,000",2021-06-01,Apartment,1,1,1,809,,1964-01-01,$220pw,2019-12-01,Mark Hay,-31.9871338,115.8161063
6/9-11 Wingfield Avenue,Crawley,WA,6009,6/9-11 Wingfield Avenue Crawley WA 6009,"$920,000",2021-06-01,House,3,2,3,154,148,1972-01-01,0,1900-01-01,Michelle Kerr,-31.97265,115.82405
42/3 Park Avenue,Crawley,WA,6009,42/3 Park Avenue Crawley WA 6009,"$1,275,000",2021-05-01,Apartment,3,2,2,6588,174,1983-01-01,$1100pw,2014-03-01,Richard Self,-31.9716501,115.8253265
15/22 The Avenue,Crawley,WA,6009,15/22 The Avenue Crawley WA 6009,"$1,455,000",2021-05-01,Apartment,3,2,2,4524,169,1981-01-01,$785pw,2016-05-01,not recorded,-31.98849,115.81646
1/3 Wingfield Avenue,Crawley,WA,6009,1/3 Wingfield Avenue Crawley WA 6009,"$1,040,000",2021-04-01,Apartment,3,1,2,204,155,1982-01-01,$650pw,2015-10-01,Annie McCarthy,-31.97325,115.8245
