address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,car space,Land size,Building size,Year Built,rent,rent date,agent,lat,lng
318/2 Moreau Parade,East Perth,WA,6004,318/2 Moreau Parade East Perth WA 6004,"$539,000",2021-08-01,Apartment,2,2,1,111,86,2015-01-01,0,1900-01-01,not recorded,-31.9609755,115.8776146
54/193 Hay Street,East Perth,WA,6004,54/193 Hay Street East Perth WA 6004,"$295,000",2021-08-01,Apartment,2,1,1,99,86,2000-01-01,0,1900-01-01,Joel Cooper,-31.9591622,115.8732016
30 Joel Terrace,East Perth,WA,6004,30 Joel Terrace East Perth WA 6004,"$1,100,000",2021-07-01,House,5,2,2,454,,1994-01-01,0,1900-01-01,Nadija Begovich,-31.943607,115.8796937
10/38 Fielder Street,East Perth,WA,6004,10/38 Fielder Street East Perth WA 6004,"$429,000",2021-07-01,Apartment,2,1,1,131,150,2009-01-01,$450pw,2018-09-01,Brendan Smith,-31.9502799,115.8733941
36/78 Terrace Road,East Perth,WA,6004,36/78 Terrace Road East Perth WA 6004,"$700,000",2021-07-01,Apartment,2,2,2,152,100,2005-01-01,$800pw,2013-07-01,Jasmyn Wright,-31.9605553,115.8701029
10/1 Henry Lawson Walk,East Perth,WA,6004,10/1 Henry Lawson Walk East Perth WA 6004,"$960,000",2021-07-01,Apartment,3,2,2,196,143,1999-01-01,$700pw,2014-04-01,Brendan Smith,-31.9512153,115.8804099
151/151 Adelaide Terrace,East Perth,WA,6004,151/151 Adelaide Terrace East Perth WA 6004,"$636,000",2021-07-01,Apartment,2,2,1,134,100,2008-01-01,$590pw,2018-07-01,Cherry Li,-31.9601109,115.8717923
147/143 Adelaide Terrace,East Perth,WA,6004,147/143 Adelaide Terrace East Perth WA 6004,"$300,000",2021-07-01,Apartment,1,1,1,67,40,2011-01-01,$375pw,2019-05-01,Rick Milankov,-31.9602744,115.8722775
7B/29 Trafalgar Road,East Perth,WA,6004,7B/29 Trafalgar Road East Perth WA 6004,"$2,750,000",2021-07-01,Apartment,4,2,2,431,247,2002-01-01,$2200pw,2011-11-01,Brendan Smith,-31.9548143,115.8798554
13/11 Bennett Street,East Perth,WA,6004,13/11 Bennett Street East Perth WA 6004,"$460,000",2021-07-01,Apartment,2,2,1,131,97,2008-01-01,$520pw,2013-08-01,not recorded,-31.960182,115.870792
11/43 Wickham Street,East Perth,WA,6004,11/43 Wickham Street East Perth WA 6004,"$460,000",2021-07-01,Apartment,2,2,1,108,68,2014-01-01,$500pw,2016-07-01,Brendan Smith,-31.95475,115.87484
47B Trafalgar Road,East Perth,WA,6004,47B Trafalgar Road East Perth WA 6004,"$869,000",2021-07-01,House,3,2,1,530,152,2000-01-01,$520pw,2020-01-01,Brendan Smith,-31.95367,115.87995
73/18 Wellington Street,East Perth,WA,6004,73/18 Wellington Street East Perth WA 6004,"$480,000",2021-07-01,Apartment,2,2,1,113,81,2011-01-01,$510pw,2018-09-01,not recorded,-31.9563843,115.8748959
8/153 Kensington Street,East Perth,WA,6004,8/153 Kensington Street East Perth WA 6004,"$388,000",2021-07-01,Apartment,2,2,1,124,85,2010-01-01,0,1900-01-01,Brendan Smith,-31.95029,115.87381
607/108 Terrace Road,East Perth,WA,6004,607/108 Terrace Road East Perth WA 6004,"$839,000",2021-07-01,Apartment,3,2,1,148,119,2003-01-01,$725pw,2016-12-01,Peter Wright,-31.9600184,115.8677491
33/7-9 Bennett Street,East Perth,WA,6004,33/7-9 Bennett Street East Perth WA 6004,"$400,000",2021-07-01,Apartment,2,2,1,110,87,2002-01-01,$460pw,2019-12-01,Chris O'Brien,-31.96037,115.87071
9/112-122 Goderich Street,East Perth,WA,6004,9/112-122 Goderich Street East Perth WA 6004,"$180,000",2021-07-01,Apartment,1,1,1,50,40,1968-01-01,$240pw,2017-11-01,Larry Gallagher,-31.9563378,115.8702339
16 Gardiner Street,East Perth,WA,6004,16 Gardiner Street East Perth WA 6004,"$1,000,000",2021-07-01,House,2,1,1,732,92,1930-01-01,$335pw,2016-04-01,not recorded,-31.9406893,115.8799709
1810/8 Adelaide Terrace,East Perth,WA,6004,1810/8 Adelaide Terrace East Perth WA 6004,"$518,888",2021-06-01,Apartment,2,1,1,74,74,2014-01-01,0,1900-01-01,not recorded,-31.96126,115.8771577
20/18 Wellington Street,East Perth,WA,6004,20/18 Wellington Street East Perth WA 6004,"$415,000",2021-06-01,Apartment,2,2,1,117,79,2011-01-01,0,1900-01-01,Brendon Habak,-31.9563843,115.8748959
3106/63 Adelaide Terrace,East Perth,WA,6004,3106/63 Adelaide Terrace East Perth WA 6004,"$605,000",2021-06-01,Apartment,2,2,1,97,70,2019-01-01,0,1900-01-01,Peter Wright,-31.9611813,115.8749575
8/2 Henry Lawson Walk,East Perth,WA,6004,8/2 Henry Lawson Walk East Perth WA 6004,"$743,000",2021-06-01,Apartment,3,2,2,170,127,1999-01-01,$630pw,2019-03-01,Brendan Smith,-31.9512134,115.8799691
807/251 Hay Street,East Perth,WA,6004,807/251 Hay Street East Perth WA 6004,"$335,000",2021-06-01,Apartment,2,1,1,105,84,2007-01-01,$390pw,2018-05-01,not recorded,-31.9583649,115.8708987
67/149-151 Adelaide Terrace,East Perth,WA,6004,67/149-151 Adelaide Terrace East Perth WA 6004,"$500,000",2021-06-01,Apartment,2,2,1,131,97,2008-01-01,0,1900-01-01,not recorded,-31.9604775,115.8716965
95/181 Adelaide Terrace,East Perth,WA,6004,95/181 Adelaide Terrace East Perth WA 6004,"$832,500",2021-06-01,Apartment,3,2,2,180,114,2012-01-01,$795pw,2019-12-01,Brendon Habak,-31.9596519,115.8708104
505/35 Bronte Street,East Perth,WA,6004,505/35 Bronte Street East Perth WA 6004,"$410,000",2021-06-01,Apartment,1,1,1,80,50,2018-01-01,0,1900-01-01,not recorded,-31.9559462,115.8749099
5/40 Wellington Street,East Perth,WA,6004,5/40 Wellington Street East Perth WA 6004,"$350,000",2021-06-01,Apartment,3,1,1,107,91,1993-01-01,$400pw,2019-07-01,Ryan Joseph,-31.9563959,115.8744954
76/125 Wellington Street,East Perth,WA,6004,76/125 Wellington Street East Perth WA 6004,"$355,000",2021-06-01,Apartment,3,1,1,123,93,2000-01-01,$400pw,2016-09-01,not recorded,-31.9556598,115.870175
609/251 Hay Street,East Perth,WA,6004,609/251 Hay Street East Perth WA 6004,"$373,000",2021-06-01,Apartment,2,2,1,91,79,2007-01-01,$400pw,2016-10-01,not recorded,-31.9583649,115.8708987
201/9 Tully Road,East Perth,WA,6004,201/9 Tully Road East Perth WA 6004,"$535,000",2021-06-01,Apartment,2,2,1,143,71,2019-01-01,0,1900-01-01,Brendan Smith,-31.9488636,115.8772379
