address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,car space,Land size,Building size,Year Built,rent,rent date,agent,lat,lng
6/11 Shenton Street,Northbridge,WA,6003,6/11 Shenton Street Northbridge WA 6003,"$440,000",2021-07-01,Apartment,2,1,1,108,84,1996-01-01,$475pw,2017-12-01,Claude Iaconi,-31.9461075,115.8545101
4/335 Newcastle Street,Northbridge,WA,6003,4/335 Newcastle Street Northbridge WA 6003,"$320,000",2021-05-01,Apartment,1,1,1,82,56,2008-01-01,$300pw,2016-09-01,not recorded,-31.9439185,115.8554343
2/89 Aberdeen Street,Northbridge,WA,6003,2/89 Aberdeen Street Northbridge WA 6003,"$379,000",2021-05-01,Apartment,2,1,1,99,67,2016-01-01,$380pw,2019-08-01,Brendon Habak,-31.9468518,115.8587809
2/2 Davies Street,Northbridge,WA,6003,2/2 Davies Street Northbridge WA 6003,"$333,000",2021-05-01,Unit,1,1,1,83,58,2006-01-01,$330pw,2018-11-01,Arash Kalani,-31.9440228,115.8557109
39/258-264 Newcastle,Northbridge,WA,6003,39/258-264 Newcastle Northbridge WA 6003,"$526,350",2021-05-01,Apartment,2,2,2,173,124,2005-01-01,0,1900-01-01,not recorded,-31.9449864,115.8589406
43 John Street,Northbridge,WA,6003,43 John Street Northbridge WA 6003,"$620,000",2021-05-01,Townhouse,2,2,1,174,116,1996-01-01,0,1900-01-01,Claude Iaconi,-31.9452194,115.853374
26/103-105 Francis Street,Northbridge,WA,6003,26/103-105 Francis Street Northbridge WA 6003,"$449,000",2021-04-01,Apartment,2,1,1,113,56,2009-01-01,$495pw,2016-10-01,James Yeoman,-31.9469101,115.8565863
29/89 Aberdeen Street,Northbridge,WA,6003,29/89 Aberdeen Street Northbridge WA 6003,"$320,000",2021-04-01,Apartment,1,1,1,57,40,2016-01-01,$350pw,2019-05-01,Brendan Smith,-31.9468518,115.8587809
6/103-105 Francis Street,Northbridge,WA,6003,6/103-105 Francis Street Northbridge WA 6003,"$310,000",2021-04-01,Apartment,1,2,1,82,54,2009-01-01,$310pw,2018-01-01,not recorded,-31.9469101,115.8565863
16/19 Little Shenton Lane,Northbridge,WA,6003,16/19 Little Shenton Lane Northbridge WA 6003,"$385,000",2021-04-01,Unit,2,1,0,108,83,1996-01-01,$380pw,2020-03-01,not recorded,-31.9456456,115.853406
