address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,car space,Land size,Building size,Year Built,rent,rent date,agent,lat,lng
10/2 Mayfair Street,West Perth,WA,6005,10/2 Mayfair Street West Perth WA 6005,"$410,000",2021-08-01,Apartment,2,2,1,102,81,2001-01-01,$400pw,2019-06-01,not recorded,-31.94858,115.84352
42/33 MALCOLM STREET,West Perth,WA,6005,42/33 MALCOLM STREET West Perth WA 6005,"$1,050,000",2021-07-01,House,3,2,2,158,140,2010-01-01,$1200pw,2019-02-01,not recorded,-31.9534429,115.8473896
6/16 Carr Street,West Perth,WA,6005,6/16 Carr Street West Perth WA 6005,"$550,000",2021-07-01,Townhouse,3,2,2,190,107,1990-01-01,0,1900-01-01,Ashby Farrell,-31.9405829,115.854431
11/875 Wellington Street,West Perth,WA,6005,11/875 Wellington Street West Perth WA 6005,"$110,000",2021-07-01,Apartment,1,1,0,34,34,1985-01-01,0,1900-01-01,Daniel Porcaro,-31.947954,115.8463075
6/1 Carr Street,West Perth,WA,6005,6/1 Carr Street West Perth WA 6005,"$442,000",2021-07-01,Apartment,3,1,1,156,88,1998-01-01,$575pw,2021-03-01,Annette O'Brien-Oxley,-31.9415034,115.8542559
1607/659 Murray,West Perth,WA,6005,1607/659 Murray West Perth WA 6005,"$610,000",2021-07-01,Apartment,2,2,1,111,74,2018-01-01,0,1900-01-01,Ian Fatharly,-31.9488032,115.845545
2/60 Cleaver Street,West Perth,WA,6005,2/60 Cleaver Street West Perth WA 6005,"$510,000",2021-07-01,Apartment,3,1,2,183,119,1992-01-01,$420pw,2019-01-01,Peter Hall,-31.93774,115.84964
5/132 Carr Street,West Perth,WA,6005,5/132 Carr Street West Perth WA 6005,"$480,000",2021-07-01,Apartment,2,1,1,77,72,1976-01-01,0,1900-01-01,not recorded,-31.9374486,115.8481907
11/129 Carr Street,West Perth,WA,6005,11/129 Carr Street West Perth WA 6005,"$420,000",2021-07-01,Townhouse,2,1,1,156,82,1991-01-01,0,1900-01-01,not recorded,-31.9384198,115.8482484
5/146 Carr Street,West Perth,WA,6005,5/146 Carr Street West Perth WA 6005,"$430,000",2021-07-01,Apartment,3,1,1,101,83,1995-01-01,$390pw,2018-11-01,not recorded,-31.9373336,115.8476246
22/105 Colin Street,West Perth,WA,6005,22/105 Colin Street West Perth WA 6005,"$700,000",2021-06-01,Apartment,3,2,2,155,113,2001-01-01,0,1900-01-01,Richard Self,-31.9465842,115.842703
5/123C COLIN Street,West Perth,WA,6005,5/123C COLIN Street West Perth WA 6005,"$345,000",2021-06-01,Apartment,2,1,1,105,91,1997-01-01,$390pw,2018-06-01,Claude Iaconi,-31.9457068,115.8429401
17/66 Cleaver Street,West Perth,WA,6005,17/66 Cleaver Street West Perth WA 6005,"$175,000",2021-06-01,Unit,1,1,1,42,40,1970-01-01,$200pw,2019-09-01,not recorded,-31.9373671,115.8495655
10/14 Lawley Street,West Perth,WA,6005,10/14 Lawley Street West Perth WA 6005,"$198,000",2021-06-01,Apartment,1,1,1,54,36,1969-01-01,0,1900-01-01,Darcy Glynn,-31.9378803,115.8557636
2/11 Colin Street,West Perth,WA,6005,2/11 Colin Street West Perth WA 6005,"$480,000",2021-06-01,Apartment,1,1,2,117,51,1936-01-01,$440pw,2021-02-01,not recorded,-31.9517311,115.8404617
16/21 Altona Street,West Perth,WA,6005,16/21 Altona Street West Perth WA 6005,"$591,000",2021-06-01,Apartment,2,2,1,74,74,2014-01-01,$550pw,2017-03-01,James Thompson,-31.9508438,115.8395682
