address,suburb,state,postcode,full_address,price,sold date,type,bedrooms,bathrooms,car space,Land size,Building size,Year Built,rent,rent date,agent,lat,lng
1/10 Pendal Lane,Perth,WA,6000,1/10 Pendal Lane Perth WA 6000,"$359,000",2020-08-01,Apartment,2,2,1,96,90,2003-01-01,$470pw,2010-06-01,not recorded,-31.9432751,115.8560119
1/10 Wright Street,Perth,WA,6000,1/10 Wright Street Perth WA 6000,"$355,000",2020-04-01,Townhouse,2,1,1,62,62,1979-01-01,$340pw,2018-10-01,not recorded,-31.9403824,115.8737132
1/308 Stirling Street,Perth,WA,6000,1/308 Stirling Street Perth WA 6000,"$325,000",2021-05-01,Unit,2,1,1,59,59,1965-01-01,$300pw,2012-04-01,Peter Thomas,-31.9422379,115.8694357
1/33 Windsor Street,Perth,WA,6000,1/33 Windsor Street Perth WA 6000,"$360,000",2020-07-01,Apartment,2,2,1,97,56,2016-01-01,$360pw,2020-03-01,not recorded,-31.94432,115.87452
1/478 William Street,Perth,WA,6000,1/478 William Street Perth WA 6000,"$523,000",2021-06-01,Apartment,2,2,2,129,90,2009-01-01,$475pw,2020-07-01,not recorded,-31.94126,115.8638444
1/63 Palmerston Street,Perth,WA,6000,1/63 Palmerston Street Perth WA 6000,"$821,000",2019-12-01,House,3,2,2,176,185,2000-01-01,0,1900-01-01,Carlos Lehn,-31.9394,115.8594
10 Church Street,Perth,WA,6000,10 Church Street Perth WA 6000,"$810,000",2020-06-01,House,3,2,1,144,,2016-01-01,$610pw,2017-08-01,Michael Mort,-31.94362,115.8585
10 Pisconeri Street,Perth,WA,6000,10 Pisconeri Street Perth WA 6000,"$1,308,000",2021-05-01,House,4,2,3,302,289,2008-01-01,$700pw,2018-04-01,Daniel Porcaro,-31.9485212,115.8675002
10 Robinson Avenue,Perth,WA,6000,10 Robinson Avenue Perth WA 6000,"$880,000",2020-04-01,House,2,2,2,241,174,1995-01-01,$550pw,2018-10-01,Claude Iaconi,-31.9442908,115.8642977
10/10 Wright Street,Perth,WA,6000,10/10 Wright Street Perth WA 6000,"$447,500",2020-09-01,Townhouse,2,1,1,62,62,1979-01-01,$460pw,2013-06-01,not recorded,-31.9439724,115.8719309
10/20 Pendal Lane,Perth,WA,6000,10/20 Pendal Lane Perth WA 6000,"$390,000",2021-01-01,Apartment,2,2,1,113,88,2003-01-01,0,1900-01-01,Peter MacDonald,-31.9428408,115.8561043
100/101 Murray Street,Perth,WA,6000,100/101 Murray Street Perth WA 6000,"$330,000",2020-08-01,Apartment,1,1,1,70,61,2011-01-01,$450pw,2019-01-01,not recorded,-31.9542262,115.8620192
100/22 St Georges Terrace,Perth,WA,6000,100/22 St Georges Terrace Perth WA 6000,"$385,000",2020-12-01,Apartment,1,1,1,93,67,2009-01-01,$500pw,2021-01-01,not recorded,-31.9564827,115.8638659
1013/380 Murray Street,Perth,WA,6000,1013/380 Murray Street Perth WA 6000,"$399,950",2020-09-01,Apartment,1,1,0,73,44,2020-01-01,0,1900-01-01,not recorded,-31.9511862,115.8542076
104/15 Aberdeen Street,Perth,WA,6000,104/15 Aberdeen Street Perth WA 6000,"$409,000",2020-11-01,Apartment,2,2,1,101,72,2014-01-01,$460pw,2016-09-01,not recorded,-31.949662,115.8652097
104/305 Murray Street,Perth,WA,6000,104/305 Murray Street Perth WA 6000,"$245,000",2021-06-01,Apartment,1,1,0,31,31,2003-01-01,0,1900-01-01,not recorded,-31.9524313,115.8565664
105/22 St Georges Terrace,Perth,WA,6000,105/22 St Georges Terrace Perth WA 6000,"$630,000",2019-12-01,Apartment,2,2,1,120,89,2009-01-01,$620pw,2018-08-01,not recorded,-31.9564827,115.8638659
106/580 Hay Street,Perth,WA,6000,106/580 Hay Street Perth WA 6000,"$425,000",2020-03-01,Apartment,1,1,1,120,82,2011-01-01,$520pw,2019-01-01,not recorded,-31.9546333,115.8609102
107/101 Murray Street,Perth,WA,6000,107/101 Murray Street Perth WA 6000,"$350,000",2021-01-01,Apartment,1,1,1,70,61,2011-01-01,$500pw,2017-08-01,Terry Lu,-31.9542262,115.8620192
108/126 Mounts Bay Road,Perth,WA,6000,108/126 Mounts Bay Road Perth WA 6000,"$220,000",2019-12-01,Apartment,1,1,0,59,57,2001-01-01,0,1900-01-01,not recorded,-31.9561886,115.8471018
109/15 Aberdeen Street,Perth,WA,6000,109/15 Aberdeen Street Perth WA 6000,"$330,000",2021-06-01,Apartment,1,1,1,77,47,2014-01-01,$370pw,2019-03-01,Cherry Li,-31.949662,115.8652097
10B/811 Hay Street,Perth,WA,6000,10B/811 Hay Street Perth WA 6000,"$255,000",2019-12-01,Apartment,1,1,0,59,53,2001-01-01,$300pw,2019-03-01,not recorded,-31.9531058,115.8553788
11 Lindsay Street,Perth,WA,6000,11 Lindsay Street Perth WA 6000,"$1,100,000",2021-03-01,House,3,2,2,240,155,2010-01-01,$780pw,2021-01-01,Meryl Carter,-31.946328,115.8630127
11/177 Stirling Street,Perth,WA,6000,11/177 Stirling Street Perth WA 6000,"$450,000",2021-07-01,Apartment,2,2,1,109,70,2012-01-01,$465pw,2016-11-01,Danielle Geagea,-31.9469,115.8655059
11/18 Robinson Avenue,Perth,WA,6000,11/18 Robinson Avenue Perth WA 6000,"$620,000",2021-06-01,Townhouse,3,1,1,201,139,2002-01-01,$475pw,2019-09-01,Graeme Correy,-31.9442746,115.8638426
11/2 Braid Street,Perth,WA,6000,11/2 Braid Street Perth WA 6000,"$450,000",2020-03-01,Apartment,2,2,2,870,104,2008-01-01,$550pw,2019-02-01,Mary Parker,-31.949183,115.8679775
11/2 Pisconeri Street,Perth,WA,6000,11/2 Pisconeri Street Perth WA 6000,"$375,000",2021-03-01,Apartment,2,1,1,100,74,2008-01-01,$360pw,2018-09-01,Dan Sharp,-31.9488756,115.8671946
11/32 Fielder Street,Perth,WA,6000,11/32 Fielder Street Perth WA 6000,"$450,000",2020-04-01,Apartment,2,2,2,123,84,2008-01-01,0,1900-01-01,not recorded,-31.9507574,115.8733864
11/75 Glendower Street,Perth,WA,6000,11/75 Glendower Street Perth WA 6000,"$290,000",2020-05-01,Apartment,2,1,1,63,60,1967-01-01,$330pw,2021-01-01,not recorded,-31.93913,115.86126
110/15 Aberdeen Street,Perth,WA,6000,110/15 Aberdeen Street Perth WA 6000,"$285,000",2019-12-01,Apartment,1,1,1,78,50,2014-01-01,$330pw,2019-10-01,not recorded,-31.949662,115.8652097
112 Bulwer Street,Perth,WA,6000,112 Bulwer Street Perth WA 6000,"$705,000",2019-11-01,House,2,1,1,87,91,1900-01-01,$580pw,2021-05-01,not recorded,-31.9421192,115.8665506
119 Summers Street,Perth,WA,6000,119 Summers Street Perth WA 6000,"$830,000",2020-01-01,House,3,1,0,506,125,1900-01-01,0,1900-01-01,not recorded,-31.9453239,115.8744723
12 Lane Street,Perth,WA,6000,12 Lane Street Perth WA 6000,"$780,000",2020-10-01,House,3,1,2,351,334,1930-01-01,$480pw,2014-08-01,not recorded,-31.9427099,115.8644867
12 Wade Street,Perth,WA,6000,12 Wade Street Perth WA 6000,"$680,000",2021-01-01,Townhouse,4,2,2,152,136,1996-01-01,$625pw,2015-12-01,Annie Kowal,-31.9424538,115.8639286
12/369 Hay Street,Perth,WA,6000,12/369 Hay Street Perth WA 6000,"$410,000",2020-12-01,Apartment,2,2,1,120,75,2009-01-01,$420pw,2016-10-01,not recorded,-31.9574465,115.867509
12/580 Hay Street,Perth,WA,6000,12/580 Hay Street Perth WA 6000,"$525,000",2020-04-01,Apartment,2,2,1,175,102,2011-01-01,$580pw,2019-09-01,not recorded,-31.9546333,115.8609102
12/71 Brewer Street,Perth,WA,6000,12/71 Brewer Street Perth WA 6000,"$420,000",2020-10-01,Apartment,2,2,1,114,78,2016-01-01,$390pw,2017-11-01,not recorded,-31.9461003,115.8673925
12/82 King Street,Perth,WA,6000,12/82 King Street Perth WA 6000,"$1,355,000",2021-01-01,Apartment,2,2,1,258,230,2003-01-01,0,1900-01-01,not recorded,-31.9509822,115.8557674
120/580 Hay Street,Perth,WA,6000,120/580 Hay Street Perth WA 6000,"$450,000",2020-06-01,Apartment,1,1,1,134,82,2011-01-01,$550pw,2020-02-01,not recorded,-31.9546333,115.8609102
1205/237 Adelaide Terrace,Perth,WA,6000,1205/237 Adelaide Terrace Perth WA 6000,"$465,000",2019-11-01,Apartment,2,2,1,106,78,2010-01-01,0,1900-01-01,not recorded,-31.9584671,115.8667534
123 Glendower Street,Perth,WA,6000,123 Glendower Street Perth WA 6000,"$975,000",2020-12-01,House,4,2,2,278,161,1900-01-01,0,1900-01-01,Matt Seabrook,-31.93808,115.85876
124/138 Barrack Street,Perth,WA,6000,124/138 Barrack Street Perth WA 6000,"$460,000",2021-01-01,Unit,3,2,1,145,119,2006-01-01,$500pw,2019-04-01,Brent Compton,-31.9527337,115.8612886
127/369 Hay Street,Perth,WA,6000,127/369 Hay Street Perth WA 6000,"$325,000",2020-09-01,Apartment,1,1,1,83,50,2009-01-01,$410pw,2020-12-01,not recorded,-31.9574465,115.867509
13/118 Mounts Bay Road,Perth,WA,6000,13/118 Mounts Bay Road Perth WA 6000,"$390,000",2021-05-01,Apartment,2,1,1,136,104,1999-01-01,0,1900-01-01,Brendon Habak,-31.9552607,115.8477979
13/154 Newcastle Street,Perth,WA,6000,13/154 Newcastle Street Perth WA 6000,"$189,000",2019-12-01,Apartment,1,1,1,83,57,2009-01-01,0,1900-01-01,not recorded,-31.9471039,115.8637289
